#############
# Italy #
#############

# More detail on the numbers:
# d = deaths
# p = positive
# r = recovered
# tot = total

# Date		 d	p	r	tot
0225		 10	311	1	322 	
0226		 12	385	3	400
0227		 17	588	45	650
0228		 21	821	46	888
0229		 29	1049	50	1128
0301		 34	1577	83	1694
0302		 52	1835	149	2036
0303		 79	2263	160	2502
0304		 107	2700	276	3088
0305		 148	3296	414	3858
0306		 197	3916	523	4636
0307		 233	5061	589	5883
0308		 366	6387	622	7375
0309		 463	7985	724	9172
0310		 631	8514	1004	10149
0311		 827	10590	1045	12462	
0312		 1016	12839	1258	15113
0313		 1266	14955	1439	17660
0314		 1441	17750	1996	21157
0315		 1809	20603	2335	24747
0316		 2158 	23073	2749	27980
0317		 2503	26062	2941	31506
