
##############
# h_nominal # 
##############

#Time 	total case
-1	3.9376867652e-10
0	92.2224999996
1	192.910667398
2	175.479690163
3	165.826184153
4	168.700893098
5	212.57185637
6	390.293319918
7	256.848165616
8	309.620847122
9	380.888010184
10	476.952087231
11	220.645096697
12	417.005941576
13	765.774743535
14	769.729995811
15	694.288063438
16	749.473649814
17	1109.94375575
18	981.425371998
19	881.542187826
20	1562.28664554
21	1695.81669182
22	2525.77065272
23	2739.90416741
24	2592.04020295
25	1788.64879069
26	2424.19256984
27	3138.62981901
28	3916.78499972
29	3001.87297087
30	2807.92004176
31	1859.08961545
32	1215.17280925
33	1793.0569123
34	1893.41271017
35	1916.34199784
36	1564.62052578
37	1312.48880412
38	1080.13577716
39	929.797802904
40	879.482254921
41	819.567226518
42	757.638832277
43	698.946063477
44	646.022351364
45	598.976664161
46	555.73696316
47	515.354600311
48	477.561107218
49	442.378338069
50	409.833847756
51	379.755986261
52	351.918735085
53	326.116146426
54	302.18546047
55	279.999004412
56	259.438568678
57	240.388440282
58	222.736783438
59	206.378902797
60	191.219096401
61	177.169743736
62	164.149925011
63	152.084445251
64	140.903358137
65	130.541757896
66	120.939527405
67	112.041007504
68	103.794641124
69	96.1526439707
70	89.0707215167
71	82.5078189615
72	76.4258902186
73	70.7896797964
74	65.5665174691
75	60.7261275254
76	56.2404527674
77	52.0834920842
78	48.231150108
79	44.6610977243
80	41.352642642
81	38.2866093828
82	35.4452280884
83	32.8120314969
84	30.3717594926
85	28.1102706357
86	26.0144601691
87	24.0721840323
88	22.2721884326
89	20.6040445921
90	19.0580882685
91	17.6253637058
92	16.2975717057
93	15.0670214875
94	13.9265860903
95	12.8696610341
96	11.8901260194
97	10.9823094284
98	10.1409554283
99	9.36119349091
100	8.6385101429
101	7.9687227883
102	7.34795544785
103	6.77261628371
104	6.2393767578
105	5.74515233989
106	5.28708460584
107	4.86252466701
108	4.46901780639
109	4.10428923948
110	3.7662309273
111	3.45288934479
112	3.16245415982
113	2.89324772661
114	2.64371536389
115	2.41241633704
116	2.19801550353
117	1.99927557573
118	1.81504993928
END

##############
# h_k_9.0 # 
##############

#Time 	total case
-1	3.9376867652e-10
1	184.445
2	245.948734796
3	206.2604298
4	185.649359434
5	183.189019017
6	226.209062683
7	440.113464414
8	293.651612699
9	351.660834495
10	426.755339675
11	526.285633501
12	245.128250571
13	466.817427676
14	860.562907708
15	864.24364172
16	775.584665196
17	835.9003137
18	1239.23829526
19	1097.84747816
20	987.08636079
21	1748.17474908
22	1895.81263568
23	2822.50716491
24	3062.38558788
25	2898.27075609
26	2000.17852847
27	2710.4563816
28	3508.54474849
29	4377.91969688
30	3355.22948277
31	3138.44726454
32	2077.87890706
33	1358.10590566
34	2003.83484919
35	2115.86850404
36	2141.38364092
37	1748.27348656
38	1466.46654783
39	1206.77739264
40	1038.74695407
41	982.477556254
42	915.496550511
43	846.275195098
44	780.67377572
45	721.520786923
46	668.937631538
47	620.610783849
48	575.480625336
49	533.246665332
50	493.932513079
51	457.568254613
52	423.961822478
53	392.860546421
54	364.034171935
55	337.300645627
56	312.517084745
57	289.551207851
58	268.273563299
59	248.55906207
60	230.290610164
