
##############
# h_nominal # 
##############

#Time 	total case
-1	-2.38321190039e-10
0	92.2225000003
1	195.548668086
2	177.790429356
3	167.458236054
4	169.493281238
5	212.223303753
6	391.692918971
7	258.517544119
8	312.593366643
9	384.230012496
10	479.361749951
11	221.70389343
12	418.537265724
13	767.8738308
14	771.016869554
15	695.048366713
16	750.090922014
17	1112.04549214
18	983.243257805
19	881.667210718
20	1558.60209417
21	1687.2593876
22	2509.48359761
23	2716.80501269
24	2569.6459003
25	1775.92486121
26	2407.46971991
27	3111.14838226
28	3866.45051891
29	2951.79521118
30	2763.07306375
31	1839.40037535
32	1216.20437089
33	1810.32418766
34	1915.0030731
35	1939.09351176
36	1583.25282564
37	1335.71716668
38	1112.24768417
39	967.114836178
40	920.406879484
41	858.976801035
42	794.300897378
43	734.009266783
44	680.872162668
45	634.362798195
46	591.196852019
47	550.218300109
48	511.449527754
49	475.238888417
50	441.791402316
51	410.872010984
52	382.161382465
53	355.41623355
54	330.490820505
55	307.297367392
56	285.740119629
57	265.707113302
58	247.08300538
59	229.761519806
60	213.650297735
61	198.666746899
62	184.733861325
63	171.778536076
64	159.73175711
65	148.529326798
66	138.111925967
67	128.424661601
68	119.416516861
69	111.039950058
70	103.250672398
71	96.007484079
72	89.2720938607
73	83.0089142577
74	77.1848557915
75	71.7691418919
76	66.7331466955
77	62.0502485136
78	57.6956924465
79	53.6464599631
80	49.8811462867
81	46.3798465677
82	43.1240506752
83	40.0965457437
84	37.2813255062
85	34.6635058122
86	32.2292459476
87	29.9656754555
88	27.8608261284
89	25.9035687931
90	24.0835545201
91	22.3911599499
92	20.8174364282
93	19.3540627162
94	17.9933010035
95	16.7279560174
96	15.5513369864
97	14.4572222754
98	13.4398264986
99	12.4937699354
100	11.6140500854
101	10.7960152252
102	10.0353398161
103	9.32800163065
104	8.67026048792
105	8.05863847848
106	7.4899015738
107	6.96104252696
108	6.469264969
109	6.01196862554
110	5.58673556316
111	5.19131740381
112	4.82362344091
113	4.48170957562
114	4.16376803999
115	3.86811783567
116	3.59319584596
117	3.33754856961
118	3.09982443086
END

##############
# h_data # 
##############

#Time 	total case
0225	240
0226	18
0227	145
0228	128
0229	84
0301	369
0302	270
0303	266
0304	300
0305	431
0306	361
0307	808
0308	769
0309	1280
0310	322
0311	1489
0312	1445
0313	1095
0314	1865
0315	1587
0316	1377
0317	1571
0318	1493
0319	2171
0320	2380
0321	3251
0322	1691
0323	1555
0324	1942
0325	1643
0326	2543
0327	3409
0328	1117
0329	1592
0330	1154
0331	1047
0401	1565
0402	1292
0403	1455
0404	1598
0405	1337
END
