
##############
# h_nominal # 
##############

#Time 	total case
-1	3.9376867651957914e-10
0	119.98049999983668
1	152.34889138703767
2	178.8909433722735
3	200.6553885390324
4	218.5021877748154
5	243.91749881148212
6	282.22181200527234
7	327.9489773866503
8	377.18286428094416
9	427.1765531795786
10	481.8741344467353
11	547.3784748200474
12	625.7427239853541
13	716.535989713605
14	817.9217342293969
15	930.5188461814896
16	1034.2804860904716
17	1163.7283706819426
18	1312.9849938187635
19	1483.4714009284598
20	1676.1438461209273
21	1845.278117825681
22	1991.4753701625887
23	2112.7965814024865
24	2204.691229589411
25	2259.0319897908375
26	2342.6796752211703
27	2325.643140031916
28	2231.509590864538
29	2056.1888601910287
30	1798.9307736041883
31	1588.567031967992
32	1412.8988985562828
33	1261.762770234287
34	1126.7328530678278
35	1004.4803790885853
36	894.8072643766282
37	797.0042405987115
38	710.034196672801
39	632.6691418546761
40	563.7529040478039
41	502.32844065239624
42	447.5791215797144
43	398.78879164045065
44	355.31515350410336
45	316.5797028600791
46	282.06517326638277
47	251.31080911872414
48	223.90669928354328
49	199.4879374359516
50	177.72938177111064
51	158.3412426995783
52	141.0652523892859
53	125.67126952631952
54	111.95423329786718
55	99.73143067297497
56	88.84005773956596
57	79.13504826108692
58	70.48714091089641
END

##############
# h_d1_0.0 # 
##############

#Time 	total case
-1	3.9376867651957914e-10
1	239.96099999967328
2	184.71728277339744
3	205.4329953571753
4	222.41983370563628
5	236.34898701145266
6	269.3320336483873
7	320.5240596423662
8	373.6730245180379
9	426.41285633749567
10	477.1658371815229
11	536.5657382986615
12	612.8734818944281
13	704.0930675066938
14	807.3100862823148
15	919.2828393263162
16	1043.0844025945971
17	1158.919941744919
18	1305.2512681923945
19	1474.4238593869304
20	1666.5445950998037
21	1881.984282033769
22	2070.586477641349
23	2234.0631836433495
24	2370.419601901296
25	2474.0697366856803
26	2535.2369985915575
27	2628.8347301974827
28	2609.3722535213965
29	2503.559373191518
30	2306.806220613209
31	2018.1669975772093
32	1782.126668954923
33	1585.004431409805
34	1415.408449107039
35	1263.8924595562057
36	1126.7213930799408
37	1003.6696580435528
38	893.9392530100667
39	796.3654891473707
40	709.5702347714323
41	632.2560601066652
42	563.348836328456
43	501.9319447209273
44	447.2015356523916
45	398.43669764630613
46	354.9881573692328
47	316.275391947318
48	281.78131347590534
49	251.04590567386913
50	223.6596691767336
51	199.25773961326922
52	177.51493410317198
53	158.1414506385554
54	140.87905611698807
55	125.49766664332128
56	111.79227972237277
57	99.58023664096254
58	88.6987848936842
59	79.00290857093205
END

##############
# h_d2_0.015 # 
##############

#Time 	total case
-1	3.9376867651957914e-10
1	239.96099999967328
2	184.7172794882063
3	205.4329859121101
4	222.4198151536035
5	236.34895621299427
6	269.3319873255307
7	320.5239942504106
8	373.67293568616765
9	426.41273897930796
10	477.1656855224892
11	536.5655459178438
12	612.873241699453
13	704.0927714064101
14	807.3097249828779
15	919.2824021694187
16	1043.0838774593603
17	1158.9193149443954
18	1305.2505244244621
19	1474.4229815071012
20	1666.5435637496757
21	1881.9830753343522
22	2070.5850708908583
23	2234.0615498204133
24	2370.417712070317
25	2474.0675604157113
26	2535.234504444754
27	2628.831886451797
28	2609.3690282169155
29	2503.555735137037
30	2306.802140831169
31	2018.1624505934815
32	1782.1216343893248
33	1584.9988927102677
34	1415.4023929004834
35	1263.8858751818625
36	1126.7142722939607
37	1003.6619948085936
38	893.9310432339553
39	796.3567304461685
40	709.5609262483122
41	632.2462021616375
42	563.3384304970095
43	501.9209935242761
44	447.19004246911936
45	398.4246665979226
46	354.97559321593144
47	316.2622999970263
48	281.7676995034053
49	251.03177584974765
50	223.6450300032957
51	199.24259786894254
52	177.4992967927974
53	158.1253249500296
54	140.86244938481832
55	125.48058630973537
56	111.77473330964858
57	99.5622317259913
58	88.68032908452733
59	78.98400948600465
END

##############
# h_d2_0.0225 # 
##############

#Time 	total case
-1	3.9376867651957914e-10
1	239.96099999967328
2	184.71728113135694
3	205.43299063408813
4	222.41982442906487
5	236.34897161222352
6	269.3320104869588
7	320.5240269463884
8	373.6729801026579
9	426.41279765840227
10	477.16576135256037
11	536.5656421082522
12	612.8733617974945
13	704.0929194565533
14	807.3099056331503
15	919.2826207478693
16	1043.08414002698
17	1158.9196283452138
18	1305.2508963089858
19	1474.4234204470158
20	1666.5440794247388
21	1881.983678684066
22	2070.5857742666612
23	2234.062366732436
24	2370.418656986363
25	2474.0686485501355
26	2535.235751518172
27	2628.8333083246216
28	2609.3706408691614
29	2503.5575541642866
30	2306.8041807221816
31	2018.1647240853345
32	1782.1241516715745
33	1585.0016620600436
34	1415.4054210037502
35	1263.8891673695907
36	1126.7178326864014
37	1003.665826426608
38	893.9351481220292
39	796.361109796213
40	709.5655805093193
41	632.2511311341368
42	563.34363341274
43	501.92646912259806
44	447.1957890613194
45	398.4306821215432
46	354.98187529258576
47	316.26884597217577
48	281.77450648966624
49	251.03884076124814
50	223.652349590011
51	199.25016874109133
52	177.50711544745718
53	158.1333877942743
54	140.87075275034294
55	125.48912647597899
56	111.78350651601068
57	99.57123418293486
58	88.68955698909122
59	78.99345902847563
END

##############
# h_d2_0.03 # 
##############

#Time 	total case
-1	3.9376867651957914e-10
1	239.96099999967328
2	184.71728277339744
3	205.4329953571753
4	222.41983370563628
5	236.34898701145266
6	269.3320336483873
7	320.5240596423662
8	373.6730245180379
9	426.41285633749567
10	477.1658371815229
11	536.5657382986615
12	612.8734818944281
13	704.0930675066938
14	807.3100862823148
15	919.2828393263162
16	1043.0844025945971
17	1158.919941744919
18	1305.2512681923945
19	1474.4238593869304
20	1666.5445950998037
21	1881.984282033769
22	2070.586477641349
23	2234.0631836433495
24	2370.419601901296
25	2474.0697366856803
26	2535.2369985915575
27	2628.8347301974827
28	2609.3722535213965
29	2503.559373191518
30	2306.806220613209
31	2018.1669975772093
32	1782.126668954923
33	1585.004431409805
34	1415.408449107039
35	1263.8924595562057
36	1126.7213930799408
37	1003.6696580435528
38	893.9392530100667
39	796.3654891473707
40	709.5702347714323
41	632.2560601066652
42	563.348836328456
43	501.9319447209273
44	447.2015356523916
45	398.43669764630613
46	354.9881573692328
47	316.275391947318
48	281.78131347590534
49	251.04590567386913
50	223.6596691767336
51	199.25773961326922
52	177.51493410317198
53	158.1414506385554
54	140.87905611698807
55	125.49766664332128
56	111.79227972237277
57	99.58023664096254
58	88.6987848936842
59	79.00290857093205
END

##############
# h_d2_0.0375 # 
##############

#Time 	total case
-1	3.9376867651957914e-10
1	239.96099999967328
2	184.71728441543897
3	205.43300007915218
4	222.41984298220666
5	236.34900240957177
6	269.3320568098154
7	320.52409233834305
8	373.67306893341856
9	426.41291501658907
10	477.16591301159633
11	536.5658344890703
12	612.8736019913599
13	704.0932155557257
14	807.3102669325872
15	919.283057904765
16	1043.0846651622132
17	1158.9202551446251
18	1305.2516400769146
19	1474.424298327951
20	1666.5451107748668
21	1881.9848853823732
22	2070.587181017141
23	2234.064000555376
24	2370.4205468162327
25	2474.0708248201117
26	2535.2382456649684
27	2628.8361520703147
28	2609.3738661736425
29	2503.5611922176577
30	2306.8082605031086
31	2018.1692710690622
32	1782.1291862371727
33	1585.0072007595809
34	1415.4114772114117
35	1263.895751743934
36	1126.724953472396
37	1003.6734896615671
38	893.943357898148
39	796.3698684974079
40	709.5748890335526
41	632.2609890791646
42	563.3540392441937
43	501.93742032035516
44	447.2072822445916
45	398.44271316994127
46	354.99443944587256
47	316.2819379224675
48	281.78812046216626
49	251.05297058536962
50	223.6669887645694
51	199.2653104854253
52	177.5227527578245
53	158.14951348168688
54	140.8873594836332
55	125.50620681067085
56	111.80105292981898
57	99.58923909904843
58	88.70801279821899
59	79.01235811343213
END

##############
# h_d2_0.06 # 
##############

#Time 	total case
-1	3.9376867651957914e-10
1	239.96099999967328
2	184.7172893426705
3	205.43301424730453
4	222.4198708108098
5	236.3490486072584
6	269.33212629410014
7	320.5241904262755
8	373.6732021817804
9	426.4130910527606
10	477.16614049959253
11	536.5661230602982
12	612.8739622843786
13	704.0936597050395
14	807.3108088811878
15	919.2837136401104
16	1043.085452865068
17	1158.9211953459635
18	1305.2527557293706
19	1474.4256151476893
20	1666.5466578011728
21	1881.986695430398
22	2070.589291144539
23	2234.066451289229
24	2370.4233815621446
25	2474.0740892256254
26	2535.241986884059
27	2628.840417688847
28	2609.3787041314645
29	2503.5666492982855
30	2306.8143801761544
31	2018.1760915446575
32	1782.1367380850133
33	1585.01550881
34	1415.420561521234
35	1263.9056283059908
36	1126.7356346508095
37	1003.6849845134639
38	893.9556725612129
39	796.3830065486472
40	709.588851818793
41	632.2757759955639
42	563.369647991407
43	501.9538471153137
44	447.22452201895794
45	398.4607597419672
46	355.013285674715
47	316.3015758467591
48	281.8085414198358
49	251.07416532209754
50	223.68894752473716
51	199.28802310301398
52	177.5462087228516
53	158.17370201335143
54	140.91226958132756
55	125.53182731271954
56	111.82737255002576
57	99.6162464720619
58	88.73569651193247
59	79.04070674083778
END

##############
# h_tau_3 # 
##############

#Time 	total case
-1	3.9376867651957914e-10
1	239.96099999967328
2	184.71728277339744
3	205.4329953571753
4	243.9810367841643
5	299.7363743655783
6	356.6272702898739
7	424.0674871493327
8	509.4363414199372
9	610.1110490083379
10	729.0158266075437
11	872.5230586702414
12	1044.4349918741773
13	1249.4347897633097
14	1494.7815582226995
15	1788.4529730684153
16	2139.479948975615
17	2492.8253083424897
18	2940.658914542424
19	3472.940065935887
20	3993.1316796872525
21	4498.925676180137
22	4964.576886185641
23	5340.068342624763
24	5585.669975677942
25	5666.838285048703
26	5552.1562552665055
27	5471.936733710929
28	5055.739759895332
29	4413.0416204850335
30	3870.871564698071
31	3399.5123838070285
32	2984.3165237478242
33	2619.6651876631804
34	2299.623565766902
35	2018.6703854036168
36	1772.0264250831242
37	1555.5071760939754
38	1365.434478456984
39	1198.5786452850152
40	1052.1043912866444
41	923.5225204318849
42	810.6477032149123
43	711.5614233338565
44	624.5794248898164
45	548.2231251660414
46	481.1945124836493
47	422.3541045949969
48	370.70159516455897
49	325.3588610862789
50	285.55504309679964
51	250.61344702882343
52	219.940043796596
53	193.01337317647994
54	169.37568017268495
55	148.62513360913727
56	130.40899488861032
57	114.41762098982872
58	100.37919984779728
59	88.055128742737
END

##############
# h_tau_4 # 
##############

#Time 	total case
-1	3.9376867651957914e-10
1	239.96099999967328
2	184.71728277339744
3	205.4329953571753
4	222.41983370563628
5	257.9101900886851
6	311.15821792527595
7	365.99311200717534
8	420.1154133187906
9	483.633163541404
10	564.4297137520639
11	660.2426927214246
12	767.975091895767
13	890.5360160438395
14	1034.5564729498674
15	1204.245342660518
16	1401.3745311336597
17	1589.9122575560577
18	1824.3771325284251
19	2096.7724105899924
20	2412.6557378177185
21	2704.9271085972177
22	2972.1942914331594
23	3209.09177689892
24	3401.0288500521965
25	3517.5489452944566
26	3536.84911889417
27	3590.4723039203454
28	3461.5674604958767
29	3196.11917403181
30	2794.755304031052
31	2461.9652183436556
32	2178.70440826688
33	1929.4170383895034
34	1707.0458584097578
35	1509.8151481332752
36	1335.4163471136053
37	1181.260339427332
38	1044.9080926585011
39	924.279851942134
40	817.5667316490071
41	723.1694873653323
42	639.6675440921899
43	565.8029366934061
44	500.4631796091562
45	442.664475941172
46	391.5365588347631
47	346.30953907257935
48	306.30235093417286
49	270.9125245935138
50	239.60711986439128
51	211.91470238375769
52	187.41824641960557
53	165.7488570800342
54	146.58021655739867
55	129.6236708610959
56	114.6238832957024
57	101.35498939582612
58	89.61719549384725
59	79.23376977052249
END

##############
# h_tau_6 # 
##############

#Time 	total case
-1	3.9376867651957914e-10
1	239.96099999967328
2	184.71728277339744
3	205.4329953571753
4	222.41983370563628
5	236.34898701145266
6	247.7708305699448
7	278.6978753660403
8	328.203972152613
9	379.9704675370683
10	431.57666697844934
11	481.40006202671566
12	528.407443388177
13	583.6246770792754
14	655.5903137273026
15	742.5006934589492
16	841.5697711380117
17	928.9186517526605
18	1029.6281726178395
19	1137.7628164668567
20	1259.699360854558
21	1400.0119318016768
22	1561.3266073918785
23	1701.0228036714307
24	1816.6186310908051
25	1903.5836333922125
26	1959.1863524445544
27	2046.530188792589
28	2073.5197817889057
29	2048.2423929456454
30	1960.3146643065083
31	1803.851409408202
32	1577.6512128176728
33	1394.1869946555962
34	1243.4415861146335
35	1116.664686192271
36	1006.2928289789561
37	905.9631017272841
38	813.5545341150355
39	729.5570472776744
40	653.9232350708626
41	586.221974798973
42	525.7607595687732
43	471.6865945389727
44	423.204940570904
45	379.68616104419925
46	340.6117777236723
47	305.5372828954278
48	274.06712513402454
49	245.8387164195301
50	220.51912348342012
51	197.80712107021827
52	177.4324671574359
53	159.15364214621513
54	142.75487397576944
55	128.04298194561852
56	114.84464006543567
57	103.00422465352312
58	92.38201663683867
59	82.85262596968823
END

##############
# h_tau_7 # 
##############

#Time 	total case
-1	3.9376867651957914e-10
1	239.96099999967328
2	184.71728277339744
3	205.4329953571753
4	222.41983370563628
5	236.34898701145266
6	247.7708305699448
7	257.1366722873645
8	286.3777878759395
9	334.5014151721491
10	385.1342781778908
11	435.8108918246544
12	484.87201941533294
13	531.2543345000381
14	574.3296683978024
15	625.4112139014605
16	693.2371466620407
17	759.3379712215328
18	842.9907456813198
19	935.4587976872263
20	1033.98733886853
21	1136.0141667421012
22	1241.8040102524446
23	1358.4492924580463
24	1455.6411093827683
25	1535.5343572159945
26	1596.1956210151584
27	1681.2302448847186
28	1721.3251030750762
29	1727.983908189657
30	1696.520211037223
31	1617.3102133240645
32	1485.4413647974288
33	1298.861652010637
34	1148.382639034895
35	1025.889628112036
36	924.5548123355147
37	838.4245464220148
38	762.2665118134391
39	691.6282424849269
40	625.33886963439
41	564.2344826311819
42	508.6367010490503
43	458.50305218807625
44	413.53175222886784
45	373.24075702052505
46	337.0351927225347
47	304.3747538747848
48	274.85383148781693
49	248.15421285455523
50	224.0130364527795
51	202.20121150956402
52	182.50926481401984
53	164.73875672809663
54	148.70274344532663
55	134.22974612658436
56	121.1648853556253
57	109.36937498486077
58	98.7191397440256
59	89.10304725454625
END

##############
# h_tau_11 # 
##############

#Time 	total case
-1	3.9376867651957914e-10
1	239.96099999967328
2	184.71728277339744
3	205.4329953571753
4	222.41983370563628
5	236.34898701145266
6	247.7708305699448
7	257.1366722873645
8	264.8165847979458
9	271.1140278169005
10	276.277838458896
